1787441854389,38630638043
1787441855393,38666310498
1787441856397,38690745739
1787441857401,38725103805
1787441858403,38768274837
1787441859404,38791905819
1787441860406,38833412427
1787441861407,38866493946
1787441862409,38880063186
1787441863411,38904219923
1787441864414,38923205410
1787441865418,38928060133
1787441866421,38935269160
1787441867428,38937664784
1787441868433,38963754744
1787441869435,38987221725
1787441870436,39018042020
1787441871438,39072500743
1787441872441,39123788514
1787441873443,39161893397
1787441874445,39207372651
1787441875447,39266284915
1787441876449,39325750949
1787441877451,39376582423
1787441878452,39415749803
1787441879454,39459023496
1787441880455,39486244190
1787441881457,39528375491
1787441882460,39587748569
1787441883462,39650003109
1787441884464,39699022576
1787441885465,39734952721
1787441886467,39782959617
1787441887468,39828068999
1787441888470,39871732950
1787441889471,39929705946
1787441890473,39983004027
1787441891479,40041395357
1787441892480,40086628701
1787441893482,40121179332
1787441894768,40174175840
1787441895770,40226588853
1787441896771,40271377739
1787441897773,40310941969
1787441898775,40319304863
1787441899779,40351890412
1787441900781,40391206534
1787441901782,40418242964
1787441902786,40441307480
1787441903794,40453126298
1787441904801,40455523386
1787441905806,40460957576
1787441906808,40477942640
1787441907811,40533855400
1787441908813,40592405055
1787441909816,40610636331
1787441910821,40628887994
1787441911823,40688810326
1787441912827,40747272517
1787441913831,40813541696
1787441914835,40869941088
1787441915837,40930513442
1787441916839,40985090573
1787441917842,41029376470
1787441918849,41031959350
1787441920925,41082701529
1787441921929,41126850220
1787441922931,41144413713
1787441923934,41191982377
1787441924935,41234454986
1787441925939,41251078906
1787441926943,41254903969
1787441927945,41297477163
1787441928949,41315223212
1787441929953,41334444781
1787441930956,41357441182
1787441931963,41360159376
1787441932969,41363111090
1787441933972,41410512946
1787441934974,41437092407
1787441935975,41486845453
1787441936979,41542780552
1787441937981,41603561707
1787441938986,41664894375
1787441939988,41718970896
1787441940992,41725287103
1787441941998,41742575267
1787441943003,41781697604
1787441944006,41813891796
1787441945011,41829982758
1787441946013,41880181360
1787441947014,41933784250
1787441948016,41990484178
1787441949018,42037202137
1787441950020,42090417272
1787441951026,42139778352
1787441952028,42180905017
1787441953029,42209306555
1787441954031,42240060261
1787441955033,42289492934
1787441956034,42320676204
1787441957036,42353758944
1787441958037,42380087673
1787441959040,42405258995
1787441960042,42455914628
1787441961043,42498002716
1787441962045,42535244930
1787441963047,42585241933
1787441964049,42644506186
1787441965051,42712155854
1787441966055,42780188883
1787441967056,42846400872
1787441968059,42912466193
1787441969061,42979879290
1787441970063,43048017665
1787441971065,43116459934
1787441972067,43185534952
1787441973069,43253675525
1787441974071,43320519775
1787441975073,43387782359
1787441976075,43454440636
1787441977078,43520868810
1787441978079,43587085743
1787441979081,43653933228
1787441980084,43724060856
1787441981086,43794455146
1787441982088,43865157785
1787441983090,43935384839
1787441984092,44005511613
1787441985094,44075383870
1787441986096,44143993680
1787441987099,44215456998
1787441988101,44285832245
1787441989103,44355578588
1787441990106,44425656167
1787441991109,44496528788
1787441992111,44567094770
1787441993113,44637888961
1787441994115,44708510912
1787441995117,44778612478
1787441996122,44848447565
1787441997124,44918907529
1787441998126,44988582888
1787441999129,45059899294
1787442000132,45131837404
1787442001134,45203579285
1787442002136,45275381714
1787442003138,45347215026
1787442004140,45419006773
1787442005142,45490718504
1787442006144,45561407227
1787442007146,45632145815
1787442008148,45702844548
1787442009150,45772593515
1787442010152,45840346210
1787442011154,45907050080
1787442012156,45973767072
1787442013158,46040448603
1787442014160,46107388739
1787442015162,46172295555
1787442016164,46232319328
1787442017166,46295956555
1787442018168,46360225494
1787442019170,46420116027
1787442020171,46470000421
1787442021173,46519491688
1787442022175,46571163309
1787442023176,46633272220
1787442024179,46697116966
1787442025181,46760809918
1787442026183,46825036011
1787442027185,46887762169
1787442028187,46951238141
1787442029189,47013054206
1787442030191,47063399109
1787442031193,47111136109
1787442032194,47166154095
1787442033196,47230506714
1787442034198,47295308061
1787442035200,47358635963
1787442036202,47422682735
1787442037204,47477281045
1787442038206,47532880085
1787442039208,47593691087
1787442040209,47649884546
1787442041211,47697773218
1787442042213,47744391018
1787442043214,47788430151
1787442044216,47827034422
1787442045217,47860855137
1787442046219,47894631417
1787442047220,47940463819
1787442048222,47978642066
1787442049223,48016731569
1787442050225,48054269070
1787442051226,48086865117
1787442052228,48117737780
1787442053229,48147628450
1787442054231,48177773515
1787442055233,48207655884
1787442056234,48237293992
1787442057236,48267334626
1787442058238,48298332837
1787442059239,48328872798
1787442060241,48358764506
1787442061243,48388495693
1787442062244,48418596384
1787442063246,48448208796
1787442064247,48477880901
1787442065249,48500031723
1787442066251,48518823911
1787442067253,48537661326
1787442068254,48553712005
1787442069256,48569728993
1787442070258,48585933481
1787442071261,48599921970
1787442072268,48602422391
1787442073274,48604759055
1787442074279,48619251571
1787442075281,48642429552
1787442076282,48662791011
1787442077284,48688286795
1787442078286,48721626309
1787442079287,48758790704
1787442080289,48792162079
1787442081291,48824153452
1787442082292,48856442798
1787442083294,48888654080
1787442084296,48920978582
1787442085297,48950941335
1787442086299,48983540434
1787442087301,49016052313
1787442088302,49047573351
1787442089304,49080688806
1787442090306,49113465882
1787442091307,49146335427
1787442092309,49179899306
1787442093311,49212256584
1787442094312,49245038727
1787442095314,49276545238
1787442096316,49308746083
1787442097317,49338906773
1787442098319,49362958164
1787442099321,49385740515
