AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
62,1:31:28:022,   28.71,    3.09,    4.92,    2.21,    4.66,    4.77,    2.83
63,1:31:29:025,   34.10,    4.61,    6.17,    3.30,    4.76,    5.09,    3.56
64,1:31:30:034,   14.03,    1.16,    1.63,    1.01,    2.93,    1.49,    1.29
65,1:31:31:036,   17.88,    1.82,    2.68,    1.34,    3.54,    2.49,    1.70
66,1:31:32:046,   19.68,    1.99,    2.71,    1.78,    3.82,    2.71,    1.93
67,1:31:33:053,   29.71,    3.32,    5.07,    2.56,    4.84,    4.74,    3.01
68,1:31:34:060,   31.83,    3.87,    5.03,    2.47,    4.94,    5.52,    3.38
69,1:31:35:062,   31.09,    3.57,    4.81,    2.64,    4.76,    5.64,    3.11
70,1:31:36:061,   18.76,    1.72,    2.65,    1.33,    3.71,    3.12,    1.48
71,1:31:37:063,   12.33,    1.00,    1.54,    0.87,    2.73,    1.54,    0.87
72,1:31:38:070,   29.16,    3.13,    4.82,    3.05,    4.80,    4.44,    3.09
73,1:31:39:074,   27.90,    3.22,    4.78,    1.50,    5.19,    4.38,    2.15
74,1:31:40:078,   26.77,    3.24,    3.82,    1.48,    4.76,    5.31,    1.86
75,1:31:41:078,   23.14,    3.27,    6.24,    1.42,    1.42,    3.24,    1.61
76,1:31:42:085,   25.25,    2.40,    6.40,    1.33,    0.62,    5.75,    1.64
77,1:31:43:095,   23.62,    2.18,    5.91,    1.08,    0.30,    6.00,    1.55
78,1:31:44:103,   20.79,    2.64,    4.83,    0.76,    0.60,    4.13,    1.45
79,1:31:45:112,   24.20,    3.29,    4.77,    1.52,    0.85,    5.07,    2.28
80,1:31:46:122,   16.99,    2.07,    3.39,    0.58,    0.82,    3.52,    1.26
81,1:31:47:124,   22.90,    2.79,    4.58,    1.26,    0.48,    5.34,    1.97
82,1:31:48:130,   13.41,    1.54,    2.87,    0.73,    0.39,    2.87,    1.07
83,1:31:49:137,   21.11,    2.42,    3.96,    1.82,    2.76,    3.30,    2.09
84,1:31:50:141,   27.09,    2.97,    5.01,    1.49,    4.12,    5.02,    2.15
85,1:31:51:148,   31.53,    4.10,    5.66,    2.22,    4.30,    5.73,    3.32
86,1:31:52:150,   21.26,    2.54,    3.58,    2.07,    3.04,    3.37,    2.41
87,1:31:53:152,    8.39,    0.96,    2.09,    0.22,    0.18,    1.54,    0.39
88,1:31:54:152,   13.80,    1.69,    2.51,    1.29,    1.79,    2.36,    1.45
89,1:31:55:159,   26.19,    2.50,    4.72,    1.62,    4.63,    4.38,    1.88
90,1:31:56:162,   28.98,    3.25,    3.92,    2.65,    5.10,    5.09,    2.18
91,1:31:57:164,   29.98,    3.41,    4.05,    2.47,    5.15,    5.61,    2.76
92,1:31:58:164,   32.66,    3.94,    4.80,    3.42,    5.01,    5.61,    3.77
93,1:31:59:164,   32.89,    3.72,    5.68,    2.43,    5.16,    5.86,    2.90
94,1:32:0:170,   29.83,    2.43,    5.88,    2.10,    4.94,    5.37,    2.02
95,1:32:1:177,   18.22,    1.71,    2.54,    0.72,    3.70,    2.76,    1.22
96,1:32:2:177,   28.07,    3.07,    4.81,    1.22,    4.69,    5.34,    1.97
97,1:32:3:184,   17.52,    1.59,    2.57,    1.04,    3.09,    2.83,    1.38
98,1:32:4:190,   24.10,    2.22,    4.98,    1.01,    4.24,    4.05,    1.37
99,1:32:5:190,   28.56,    2.83,    5.65,    1.34,    4.51,    5.37,    2.00
100,1:32:6:192,   25.94,    2.78,    3.66,    2.16,    4.57,    4.52,    2.56
101,1:32:7:200,   21.25,    2.23,    3.30,    1.68,    3.79,    3.19,    2.07
102,1:32:8:206,   28.14,    2.90,    4.67,    1.80,    5.02,    4.73,    2.33
103,1:32:9:215,   34.68,    4.41,    5.75,    3.92,    4.16,    5.58,    4.26
104,1:32:10:224,   26.50,    3.11,    4.25,    3.23,    4.24,    3.87,    3.00
105,1:32:11:229,   11.39,    0.81,    1.27,    0.62,    2.79,    1.26,    0.68
106,1:32:12:233,   28.63,    3.12,    4.96,    2.70,    4.60,    4.63,    2.87
107,1:32:13:234,   27.20,    3.27,    4.78,    1.05,    5.61,    3.93,    1.72
108,1:32:14:238,   28.15,    3.12,    3.90,    2.13,    5.64,    5.08,    1.82
109,1:32:15:244,   27.63,    3.31,    4.97,    1.54,    5.23,    4.06,    2.06
110,1:32:16:249,   27.56,    2.72,    4.51,    1.09,    4.74,    6.07,    1.36
111,1:32:17:252,   28.27,    1.65,    5.91,    1.23,    4.84,    6.04,    1.34
112,1:32:18:256,   26.21,    2.57,    5.02,    1.47,    4.30,    4.32,    2.07
113,1:32:19:260,   28.74,    2.94,    6.00,    1.29,    4.67,    4.86,    2.03
114,1:32:20:268,   25.41,    2.77,    4.70,    1.46,    4.24,    4.04,    2.00
115,1:32:21:269,   25.54,    2.27,    5.60,    1.13,    4.58,    3.71,    1.46
116,1:32:22:271,   19.56,    1.87,    3.44,    0.96,    3.77,    2.91,    1.35
117,1:32:23:279,   27.94,    2.84,    4.77,    2.35,    5.07,    4.68,    2.32
118,1:32:24:283,   28.81,    3.07,    4.73,    2.84,    4.89,    4.54,    1.99
119,1:32:25:290,   28.48,    2.83,    3.79,    2.17,    5.18,    5.61,    2.27
120,1:32:26:299,   27.08,    3.42,    5.00,    1.47,    5.10,    4.00,    1.76
121,1:32:27:299,   27.35,    2.21,    6.21,    0.92,    4.84,    4.54,    1.22
122,1:32:28:307,   29.27,    2.11,    5.89,    1.51,    4.64,    5.98,    1.88
123,1:32:29:313,   24.37,    2.28,    3.93,    1.15,    4.36,    4.67,    1.46
124,1:32:30:323,   28.32,    2.86,    6.37,    1.11,    4.44,    4.50,    2.01
125,1:32:31:323,   19.18,    2.07,    2.90,    0.95,    3.56,    3.10,    1.37
126,1:32:32:329,   25.42,    2.50,    4.78,    1.19,    4.36,    4.15,    1.67
127,1:32:33:329,   28.87,    2.95,    4.33,    1.85,    4.52,    5.67,    2.42
128,1:32:34:334,   15.76,    1.24,    2.21,    0.98,    3.36,    2.15,    1.02
129,1:32:35:336,   29.99,    3.52,    4.99,    3.12,    4.74,    4.73,    3.22
130,1:32:36:340,   30.23,    3.41,    5.07,    2.38,    4.87,    4.67,    3.12
131,1:32:37:349,   32.47,    4.13,    5.09,    3.03,    4.39,    5.47,    3.80
132,1:32:38:355,   17.94,    1.75,    2.66,    1.26,    3.72,    2.38,    1.76
133,1:32:39:362,   12.04,    0.83,    1.28,    0.62,    2.96,    1.39,    0.82
134,1:32:40:365,   27.18,    2.81,    4.08,    2.16,    4.83,    4.93,    2.83
