AMDPROFILER POWER PROFILE REPORT,,,,,,,,,,
,,,,,,,,,,
AMDuProfCLI.exe Version 5.3.521.0,,,,,,,,,,
,,,,,,,,,,
LAUNCHED APPLICATION DETAILS,,,,,,,,,,
Target Path:,C:\Windows\System32\cmd.exe,,,,,,,,,
Command Line Arguments:,/c timeout 3600 ,,,,,,,,,
Working Directory:,C:\Program Files\AMD\AMDuProf\bin,,,,,,,,,
CPU Core Affinity Mask:,,,,,,,,,,
,,,,,,,,,,
PROFILE DETAILS,,,,,,,,,,
CPU Details:,Family(0x17) Model(0x60),,,,,,,,,
Sampling Interval:,1000 milli-seconds,,,,,,,,,
Profile Start Time:,Jul-26-2026_15-49-32,,,,,,,,,
,,,,,,,,,,
PROFILED COUNTERS,,,,,,,,,,
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION,,,,,,
48,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.,,,,,,
50,core0-power,Power,W,Core0-Average Power reported in Watts.,,,,,,
52,core1-power,Power,W,Core1-Average Power reported in Watts.,,,,,,
54,core2-power,Power,W,Core2-Average Power reported in Watts.,,,,,,
56,core3-power,Power,W,Core3-Average Power reported in Watts.,,,,,,
58,core4-power,Power,W,Core4-Average Power reported in Watts.,,,,,,
60,core5-power,Power,W,Core5-Average Power reported in Watts.,,,,,,
62,core6-power,Power,W,Core6-Average Power reported in Watts.,,,,,,
64,core7-power,Power,W,Core7-Average Power reported in Watts.,,,,,,
,,,,,,,,,,
PROFILE RECORDS,,,,,,,,,,
52,15:50:24:877,11.27,0.78,0.59,0.57,0.6,0.9,1.02,1.35,0.75
53,15:50:25:885,27.19,2.85,2.97,2.93,2.99,3.05,2.3,2.62,2.91
54,15:50:26:890,32.37,4.45,3.61,4.02,4.39,3.24,2.71,3.38,2.63
55,15:50:27:893,32.25,4.97,3.66,3.51,4.51,4.56,2.1,3.11,2.48
56,15:50:28:901,10.67,0.69,0.36,1.51,0.46,0.39,0.4,0.44,1.12
57,15:50:29:910,23.84,2.09,3.05,2.15,2.08,2.43,1.99,2.96,2.1
58,15:50:30:912,28,2.59,4.79,2.95,4.54,2.38,3.85,2.21,0.99
59,15:50:31:916,24.41,1.07,1.18,3.43,3.78,4.38,1.79,2.71,1.99
60,15:50:32:923,23.54,2.35,1.94,1.59,1.66,2.07,2.44,3.57,1.77
61,15:50:33:929,33.29,3.76,3.89,3.25,3.87,3.79,5.46,3.49,2.76
62,15:50:34:932,24.66,1.66,2.41,2.44,1.92,3.69,3.73,1.69,2.27
63,15:50:35:935,25.92,2.52,3.71,2.7,2.5,2.32,2.52,2.09,2.57
64,15:50:36:937,29.69,2.27,3.78,3.87,2.8,3.86,3.12,1.98,4.55
65,15:50:37:940,24.18,1.18,3.43,0.92,0.77,3.49,3.68,1.26,4.01
66,15:50:38:946,24.29,1.81,4.18,2.34,1.59,2.08,1.59,1.94,2.59
67,15:50:39:949,31.55,3.33,4.25,4.59,4.66,3.18,1.83,3.61,2.08
68,15:50:40:952,26.61,2.78,2.69,2.95,3.54,2.34,2.3,2.14,2.09
69,15:50:41:959,30.65,2.66,4.03,3.64,3.25,3.61,2.29,4.12,3.05
70,15:50:42:959,30.46,3.33,3.49,3.19,3.73,2.93,2.19,4.71,2.86
71,15:50:43:965,15.58,1.06,1.65,0.86,0.98,1.13,1.14,0.87,1.99
72,15:50:44:969,18.48,1.91,1.68,1.88,1.49,1.9,1.39,1.44,1.5
73,15:50:45:972,31.5,4.38,4.29,3.54,4.32,2.55,2.55,2.6,3.06
74,15:50:46:974,35.82,3.63,4.18,3.75,5.76,4.05,3.84,3.94,4.33
75,15:50:47:983,26.32,2.22,2.82,2.57,5.34,2,1.5,2.72,1.61
76,15:50:48:986,12.22,0.64,0.79,0.78,0.99,0.67,0.61,0.56,1.38
77,15:50:49:986,17.43,1.66,1.4,1.45,1.57,1.36,1.6,1.86,1.56
78,15:50:50:989,31.46,3.68,5.47,4.46,4.12,1.83,2.36,2.55,2.88
79,15:50:51:993,26.16,5.14,3.41,1.97,2.99,1.43,1.08,1.78,4
80,15:50:53:003,24.45,2.75,1.83,3.24,1.41,2.63,1.23,3.55,2.77
81,15:50:54:004,23.31,1.02,4.43,2.29,1.96,2.39,2.82,2.58,1.21
82,15:50:55:004,27.3,6.64,2.94,3.96,4.25,2.07,2,1.3,0.85
83,15:50:56:008,27.64,4.3,3.23,2.44,4.52,2,2.19,2.42,2.25
84,15:50:57:012,28.31,2.13,1.76,2.58,2.01,3.43,2.26,5.43,4.19
85,15:50:58:014,27.7,2.2,2.32,2.19,3.04,3.22,3.61,3.29,2.65
86,15:50:59:019,24.02,3.5,4.07,2.43,1.74,1.66,2.18,1.35,1.52
87,15:51:0:025,30.87,2.63,4.31,3.02,3.26,4.39,3.59,2.93,2.55
88,15:51:1:034,29.14,3.33,3.62,3.73,2.81,3.66,2.69,2.04,1.87
89,15:51:2:037,29.23,3.92,4.14,4.41,3.12,1.98,2.25,2.77,3.17
90,15:51:3:039,23.32,1.99,1.07,3.28,0.87,1,4,4.27,1.3
91,15:51:4:042,34.18,3.61,3.54,3.75,2.72,4.97,4.86,4.01,3.31
92,15:51:5:044,33.03,4.51,5.22,2.71,3.55,2.74,3.67,2.11,4.13
93,15:51:6:048,29.4,3.28,3.21,3.2,3.65,3.33,2.66,2.42,2.44
94,15:51:7:058,26.21,2.26,2.13,2.51,3.47,2.13,2.38,3.18,3.05
95,15:51:8:064,26.53,2.18,2.35,2.75,5.11,1.92,2.25,2.82,2.57
96,15:51:9:064,16.43,1.46,0.99,2.34,1.77,1.08,0.99,1.03,1.65
97,15:51:10:071,11.06,0.71,0.54,0.71,0.95,0.73,0.42,0.52,1.03
98,15:51:11:078,25.09,2.39,2.94,2.42,2.71,2.55,2.05,1.87,2.83
99,15:51:12:084,30.69,2.33,3.71,4.21,2.66,3.87,3.73,2.75,4.29
100,15:51:13:089,24.03,1.16,2.21,1.93,3.45,1.4,3.64,1.32,3.76
101,15:51:14:088,24.32,1.69,1.91,1.6,1.46,2.28,4.27,2.91,2.12
102,15:51:15:094,30.52,3.52,3.68,4.02,2.9,2.66,4.42,2.99,2.23
103,15:51:16:102,30.18,3.45,3.92,2.83,2.88,3.78,2.56,2.67,2.58
104,15:51:17:104,31.78,2.92,3.66,4,2.65,3.47,3.03,4.31,3.52
105,15:51:18:111,29.4,2.99,2.61,2.05,4.05,2.48,2.87,6.4,1.95
106,15:51:19:114,12.34,0.59,1.8,0.56,0.37,0.77,0.86,0.65,1.13
107,15:51:20:120,20.6,2.19,2.3,2.04,1.92,1.99,1.7,1.63,2.17
108,15:51:21:120,27.89,1.49,3.4,4.49,4.01,3.92,2.72,2.24,1.51
109,15:51:22:124,25.69,1.79,1.53,3.39,2,4.33,1.85,3.63,2.32
110,15:51:23:131,23.18,2.09,3.18,3.23,1.79,1.42,3.74,1.17,0.98
111,15:51:24:134,23.4,1.13,2.65,2.44,3.61,1.63,3.31,2.54,1.1
112,15:51:25:140,27.11,1.94,4.21,4.85,3.14,2.53,1.95,3.09,2.42
113,15:51:26:143,28.78,3.68,4.01,2.83,3.43,2.95,1.66,4.46,2.05
114,15:51:27:144,26.6,2.66,2.91,1.83,5.21,2.46,1.56,2.06,2.69
115,15:51:28:151,28.44,3.85,3.97,3.97,2.69,2.42,2.97,1.97,2.06
116,15:51:29:151,16.57,1.59,1.53,1.77,2.42,1.46,0.89,0.73,1.38
117,15:51:30:156,27.68,3.26,3.82,2.21,5.27,2.98,1.84,1.61,1.93
118,15:51:31:162,23.48,3.3,1.81,1.8,3.1,2.88,1.87,1.39,1.78
119,15:51:32:162,30.57,3.41,3.12,3.46,3.31,3.37,3.13,3.03,3.54
120,15:51:33:171,33.04,2.81,4.2,3.6,3.96,3.76,3.17,3.95,3.41
121,15:51:34:176,37.58,4.43,4.4,3.96,4.45,4.08,4.89,4.88,4.56
122,15:51:35:176,17.37,1.26,1.93,1.23,1.43,1.88,1.5,1.94,1.69
123,15:51:36:183,12.21,0.68,0.46,0.48,0.48,0.86,0.64,1.8,1.18
124,15:51:37:184,24.04,2.31,2.11,2.05,2.23,2.92,2.35,2.82,2.25
125,15:51:38:191,30.53,2.95,4,3.79,4.55,1.49,2.88,3.7,2.87
126,15:51:39:192,34.49,4.5,3.13,5.33,3.05,5.1,4.06,3.79,2.74
127,15:51:40:199,19.4,2.07,1.6,2.28,1.55,2.14,1.54,2.17,1.69
128,15:51:41:206,12.62,0.97,1.54,0.93,0.64,0.77,0.71,0.55,1.09
129,15:51:42:207,20.75,2.18,1.68,2.05,1.66,2.52,1.98,2.14,1.78
130,15:51:43:210,28.61,2.88,3.86,3.37,2.1,4.12,3.48,2.68,1.87
131,15:51:44:215,23.03,0.97,0.84,8.3,0.58,1.25,1.62,2,2.76
132,15:51:45:220,23.07,1.26,3.77,3.69,3.91,0.78,1.19,1.85,1.09
133,15:51:46:226,23.91,1.88,2.13,3.44,3.93,2.56,1.05,1.4,2.04
134,15:51:47:233,29.59,4.88,2.9,5.11,4.23,2.53,1.92,3.25,2.26
135,15:51:48:236,27.55,5.48,3.18,4.31,2.83,1.95,1.5,1.98,2.51
136,15:51:49:243,26.2,3.16,4.38,2.82,2.69,2.63,2.3,1.59,1.59
137,15:51:50:250,23.92,1.88,1.85,3.96,3.47,2.5,1.74,1.21,1.84
138,15:51:51:256,24.03,2.37,1.47,2.26,1.22,4.74,2.55,2.37,1.69
139,15:51:52:260,34.11,3.21,3.8,3.48,3.5,4.51,5.45,3.9,3.14
140,15:51:53:263,26.45,2.44,3.35,2.61,2.38,2.48,2.13,2.46,2.93
141,15:51:54:270,19.3,0.83,2.98,1.86,3.24,0.66,0.69,0.65,0.99
142,15:51:55:274,27.24,2.83,4.33,2.49,2.38,2.96,1.92,2.74,2.04
143,15:51:56:277,23.71,2.78,3.6,2.42,2,1.85,1.74,1.61,1.73
144,15:51:57:278,33.07,3.63,4.48,3.96,3.79,3.43,2.96,3.45,3.3
145,15:51:58:285,28.36,3.22,3.94,3.36,3.92,2.46,1.67,2.27,2.63
146,15:51:59:291,21.7,1.02,5.26,0.67,6.5,0.33,0.3,0.98,0.55
147,15:52:0:291,21.56,1.64,1.07,4.26,4.85,1.33,0.58,0.49,1.24
148,15:52:1:291,23.7,0.83,3.76,1.79,4.92,2.19,0.95,2.49,1.07
149,15:52:2:297,25.22,1.48,3.47,1.55,1.34,4.75,2.63,3.29,2.86
150,15:52:3:303,12.02,0.76,0.84,0.87,0.66,0.81,1.06,1.04,0.87
151,15:52:4:305,37.15,4.01,4.31,4.87,4.91,4.78,4.04,3.27,3.59
152,15:52:5:309,25.31,1.55,5.03,2.43,4.96,1.52,2.56,0.83,0.84
153,15:52:6:313,22.53,2.99,1.29,3.36,3.02,1.42,1.02,1.22,2.33
154,15:52:7:315,11.81,0.59,0.37,0.24,0.47,1.2,1.56,1.08,0.63
155,15:52:8:318,28.85,3.35,2.85,3.17,2.65,2.8,3.74,2.19,3.56
156,15:52:9:325,25.27,1.54,2.01,1.86,4.62,3.25,1.69,1.31,3.26
157,15:52:10:326,22.11,2.37,2.02,4.33,2.46,1.46,1.82,0.66,1.37
158,15:52:11:335,8.81,0.5,0.62,0.57,0.35,0.29,0.44,0.34,0.61
159,15:52:12:340,31.91,3.3,3.85,3.01,4.52,3.84,3.43,3.09,2.52
160,15:52:13:344,25.47,3.23,3.13,1.83,2.07,1.61,2.98,1.41,3
161,15:52:14:347,22.62,1.97,1.45,4.36,2.34,2.33,1.63,1.08,0.89
162,15:52:15:353,22.34,0.95,2.96,1.98,4.79,0.71,2.23,0.49,2.26
163,15:52:16:353,23.6,0.84,6.91,2.49,3.71,3.55,0.5,0.84,0.68
164,15:52:17:358,22.1,2.29,3.29,1.4,2.67,2.93,1.76,1.72,0.82
165,15:52:18:367,14.76,1.43,1.44,1.13,1.32,1.37,1.19,1,1.23
166,15:52:19:371,28.56,3.06,5.61,4.45,3.55,1.85,2.07,1.81,1.28
167,15:52:20:380,23.97,1.31,2.85,1.41,3.54,1.26,1.17,2.09,4.22
168,15:52:21:388,18.35,3.04,1.22,1.88,0.62,2.13,2.01,1.14,1.02
169,15:52:22:388,17.58,1.64,1.54,1.18,1.45,2.23,1.63,1.81,1.54
170,15:52:23:393,29.11,1.85,3.22,4.71,1.79,2.81,3.22,3.94,2.74
171,15:52:24:400,23.22,0.93,2.04,5.1,2.87,0.73,1.24,2.39,1.48
172,15:52:25:400,16.56,0.84,0.79,1.31,1.64,1.13,1.81,1.92,2.07
173,15:52:26:407,17.78,1.92,1.8,1.5,1.92,1.65,1.34,1.4,1.8
174,15:52:27:407,29.56,2.44,4.32,1.93,5.06,2.94,3.87,1.95,2.53
175,15:52:28:415,23.06,3.12,2.36,2.36,2.78,0.54,1.99,2.68,0.72
176,15:52:29:419,22.48,1.52,0.84,4.74,5.19,0.52,0.51,1.73,0.72
177,15:52:30:424,22,3.53,2.3,2.77,5.62,0.39,0.4,0.49,0.71
178,15:52:31:427,24.19,5.03,1.98,1.68,6.47,1.24,1.87,1.08,0.64
179,15:52:32:429,12.92,0.71,0.72,0.76,0.42,1.45,1.8,1.05,0.7
180,15:52:33:429,31.86,3.54,4.59,3.05,3.34,3.27,3.25,3.79,2.73
181,15:52:34:433,32.46,3.33,3.72,3.35,3.74,4,3.33,3.93,2.98
182,15:52:35:434,22.72,2.25,3.06,2.72,1.07,2.45,1.23,0.69,2.97
183,15:52:36:440,22.01,1.42,0.68,2.67,4.18,2.23,1.42,1.77,1.08
184,15:52:37:447,25.85,1.65,2.03,4.94,2.82,2.16,1.75,4.84,1.4
185,15:52:38:447,15.72,1.77,0.93,0.72,0.58,1.29,2.64,0.97,2.02
186,15:52:39:447,18.72,1.78,2.32,1.72,1.94,1.88,1.34,1.43,1.53
187,15:52:40:447,31.23,4.15,4.2,3.5,3.3,3.29,2.49,2.52,3.44
188,15:52:41:455,32.57,3.72,4.46,4.11,3.53,2.74,2.99,3.41,2.77
189,15:52:42:456,34.53,3.93,4.47,3.48,4,4.42,3.33,3.79,3.23
190,15:52:43:464,30.81,3.42,4.05,3.73,3.33,3.76,2.66,2.74,3.2
191,15:52:44:466,33.31,3.49,4.71,3.51,3.6,3.82,3.05,2.62,3.73
192,15:52:45:474,31.91,3.83,4.49,3.8,3.42,2.76,2.78,3.12,2.85
