Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed,source_machine,source_workflow
train-1,asok01,atacseq,18798126,TRIMGALORE,931822514,368573,459.5,1516265472,26021147704,25009596847,8,0,1553813504,3273519104,17179869184,1567764480,931822514,3522936056,3522936056,a1,atacseq
train-1,asok01,atacseq,587600,TRIMGALORE,29105620,21938,332.4,320434176,910883011,834603892,8,0,52588544,3277709312,17179869184,320532480,29105620,110119968,110119968,a1,atacseq
train-1,asok01,atacseq,2349800,TRIMGALORE,116545329,55491,417.7,360275968,3490390837,3294133056,8,0,197902336,3197644800,17179869184,360554496,116545329,440371968,440371968,a1,atacseq
train-1,asok01,atacseq,37596126,TRIMGALORE,1862380804,726978,463.7,2094084096,51769841769,49827776923,8,0,3103170560,3197591552,17179869184,2101407744,1862380804,7045849256,7045849256,a1,atacseq
train-1,asok01,atacseq,293800,TRIMGALORE,14554208,14144,318.6,239042560,474171168,419193787,8,0,28327936,3277713408,17179869184,239042560,14554208,55059168,55059168,a1,atacseq
train-1,asok01,atacseq,1175000,TRIMGALORE,58238751,32102,390.7,272257024,1784433066,1665524101,8,0,101040128,3197640704,17179869184,272384000,58238751,220203968,220203968,a1,atacseq
train-1,asok01,atacseq,147000,TRIMGALORE,7287465,12087,253.7,239095808,256096048,211748527,8,0,16232448,3277742080,17179869184,240164864,7287465,27547568,27547568,a1,atacseq
train-1,asok01,atacseq,73600,TRIMGALORE,3653358,9299,248.5,184762368,146994412,107973419,8,0,10170368,3273543680,17179869184,184762368,3653358,13791968,13791968,a1,atacseq
train-1,asok01,atacseq,9399126,TRIMGALORE,466177547,188836,454.5,937951232,13145342215,12599501276,8,221184,778919936,3197620224,17179869184,944947200,466177547,1761479256,1761479256,a1,atacseq
test,asok01,atacseq,75192126,TRIMGALORE,3259653689,1446057,464.3,3399098368,102788801086,99455492279,8,1069056,6195539968,4168884224,17179869184,3432005632,3259653689,14091675276,14091675276,a1,atacseq
test,asok01,atacseq,75192126,FASTQC,3259653689,667187,101.7,1083621376,3290665141,3705629,6,0,4599808,4551680000,17179869184,1084698624,3259653689,14091675276,14091675276,a1,atacseq
train-1,asok01,atacseq,18798126,BWA_MEM,931822514,872253,721.5,7273107456,11627516469,6658509391,8,6195482624,1220947968,8291209216,17179869184,7275163648,771829785,3228323076,3522936056,a1,atacseq
train-1,asok01,atacseq,293800,BWA_MEM,14554208,35756,291.5,5727739904,5513121057,102576195,8,1279217664,19075072,6221242368,17179869184,5727739904,12079134,50436264,55059168,a1,atacseq
train-1,asok01,atacseq,1175000,BWA_MEM,58238751,59816,657.8,6631178240,5802287451,412726013,8,48361472,76296192,7821824000,17179869184,6657110016,48294256,201814236,220203968,a1,atacseq
