task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
221,-,100677,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CONSENSUS_PEAKS:HOMER_ANNOTATEPEAKS,consensus_peaks,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CONSENSUS_PEAKS:HOMER_ANNOTATEPEAKS (consensus_peaks),COMPLETED,0,-,quay.io/biocontainers/homer:4.11--pl526hc9558a2_3,2,21600000,-,6442450944,1,1788523795793,1788523795891,1788523800412,4619,2000,-,99.1,0.1,47468544,83496960,47468544,83501056,58280294,6545146,8612,1312,0,6582272,22,4,/home/ahmed/pranay/work/2b/a6b352ed007b16ca67e56b00099d8c,-,-,12th Gen Intel(R) Core(TM) i5-12400
230,-,103880,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,OSMOTIC_STRESS_T0_PE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T0_PE),COMPLETED,0,-,quay.io/biocontainers/samtools:1.17--h00cdaf9_0,1,14400000,-,6442450944,1,1788523798735,1788523798834,1788523800514,1779,1000,-,127.4,0.0,7741440,165978112,7741440,233074688,8940507,68256,1540,34,0,73728,2,4,/home/ahmed/pranay/work/d4/5c97928bc0ea8ab6ec4c8b80cd8f4a,-,-,12th Gen Intel(R) Core(TM) i5-12400
236,-,104457,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:FRIP_SCORE,OSMOTIC_STRESS_T0_PE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T0_PE),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-8186960447c5cb2faa697666dc1e6d919ad23f3e:3127fcae6b6bdaf8181e21a26ae61231030a9fcb-0,2,21600000,-,6442450944,1,1788523800414,1788523800512,1788523801228,814,1000,-,117.6,0.0,18452480,33107968,18452480,33116160,31107233,13194115,33345,1809,0,16384,54,1,/home/ahmed/pranay/work/96/d40e1ea2e79588f237e7f66bddc5a8,-,-,12th Gen Intel(R) Core(TM) i5-12400
225,-,102125,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS,OSMOTIC_STRESS_T100_SE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T100_SE),COMPLETED,0,-,quay.io/biocontainers/homer:4.11--pl526hc9558a2_3,2,21600000,-,6442450944,1,1788523797330,1788523797429,1788523801588,4258,3000,-,68.3,0.1,41336832,77545472,41336832,77549568,58436610,6541754,8629,1309,0,6569984,42,6,/home/ahmed/pranay/work/a9/6d213e236b5b5b8edc8c5cb4b28886,-,-,12th Gen Intel(R) Core(TM) i5-12400
238,-,105011,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:MACS2_CONSENSUS,consensus_peaks,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:MACS2_CONSENSUS (consensus_peaks),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-2f48cc59b03027e31ead6d383fe1b8057785dd24:5d182f583f4696f4c4d9f3be93052811b383341f-0,1,21600000,-,6442450944,1,1788523801231,1788523801328,1788523802115,884,1000,-,206.0,0.0,3276800,5648384,3276800,5652480,12958992,694479,2195,2878,0,516096,1,1,/home/ahmed/pranay/work/11/666771f5c83e198313ba36b2ae65fe,-,-,12th Gen Intel(R) Core(TM) i5-12400
234,-,104005,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:PLOT_HOMER_ANNOTATEPEAKS,-,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:PLOT_HOMER_ANNOTATEPEAKS,COMPLETED,0,-,quay.io/biocontainers/mulled-v2-ad9dd5f398966bf899ae05f8e7c54d0fb10cdfa7:05678da05b8e5a7a5130e90a9f9a6c585b965afa-0,2,21600000,-,6442450944,1,1788523798877,1788523798975,1788523802492,3615,1000,-,256.2,0.0,16687104,1676492800,16687104,1676496896,15596443,235424,2059,100,1073152,258048,9,3,/home/ahmed/pranay/work/1b/48150e887bd75eef040fc061d85392,-,-,12th Gen Intel(R) Core(TM) i5-12400
237,-,104544,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:PLOT_MACS2_QC,-,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:PLOT_MACS2_QC,COMPLETED,0,-,quay.io/biocontainers/mulled-v2-ad9dd5f398966bf899ae05f8e7c54d0fb10cdfa7:05678da05b8e5a7a5130e90a9f9a6c585b965afa-0,2,21600000,-,6442450944,1,1788523800515,1788523800614,1788523802772,2257,1000,-,164.6,0.0,14929920,1675669504,14929920,1675673600,14493935,265481,1790,96,0,286720,12,2,/home/ahmed/pranay/work/40/938554bcac5526a9cf2803d643804c,-,-,12th Gen Intel(R) Core(TM) i5-12400
175,-,81307,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT,OSMOTIC_STRESS_T150_SE_REP1,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T150_SE_REP1),COMPLETED,0,-,quay.io/biocontainers/deeptools:3.5.1--py_0,2,21600000,-,6442450944,1,1788523766081,1788523766180,1788523804709,38628,37000,-,188.5,0.5,178106368,591007744,204439552,624615424,229795550,56132875,46867,7020,0,21594112,373,3029,/home/ahmed/pranay/work/4d/46f35638feecb739f0f7a006fad19f,-,-,12th Gen Intel(R) Core(TM) i5-12400
235,-,105328,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS,OSMOTIC_STRESS_T0_PE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T0_PE),COMPLETED,0,-,quay.io/biocontainers/homer:4.11--pl526hc9558a2_3,2,21600000,-,6442450944,1,1788523801589,1788523801688,1788523804996,3407,2000,-,99.8,0.1,48521216,84787200,48521216,84791296,58293100,6432510,8611,1294,0,6467584,38,3,/home/ahmed/pranay/work/94/7ea89c6d71f285da552f526de71395,-,-,12th Gen Intel(R) Core(TM) i5-12400
243,-,107355,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS,OSMOTIC_STRESS_T100_SE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T100_SE),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,1,14400000,-,6442450944,1,1788523804998,1788523805096,1788523805319,321,7,-,92.3,0.0,3055616,4087808,3055616,4096000,332839,113671,324,24,0,16384,5,0,/home/ahmed/pranay/work/3e/23fa7dd00233b4446e7bbf2bca6a7f,-,-,12th Gen Intel(R) Core(TM) i5-12400
