target,method,r2,mape
runtime_s,Mean predictor,-0.0012615785154916903,73.23289391044979
runtime_s,Linear (simple),0.25612512739751214,59.498954236017475
runtime_s,Random Forest,0.9915595854971228,0.1310182639639657
peak_mem,Mean predictor,-6.312634881511237e-05,217.67054830134302
peak_mem,Linear (simple),0.022531206372027324,203.7171184776761
peak_mem,Random Forest,0.9842593822804724,0.12558633765339733
energy_j,Mean predictor,-6.67103624096832e-06,13.559581799374548
energy_j,Linear (simple),0.25270009589384523,10.890300373130058
energy_j,Random Forest,0.9503894534952205,0.17420794712094512
